Employee ID,Laptop Issued,Training Completed,Security Access Granted,Email Setup,Onboarding Complete
OB001,True,True,True,True,True
OB002,True,False,True,True,False
OB003,True,False,True,True,False
OB004,True,True,True,True,True
OB005,True,True,True,True,True
OB006,True,False,True,True,False
OB007,True,False,False,True,False
OB008,True,True,True,True,True
OB009,True,True,True,True,True
OB010,False,False,False,False,False
OB011,True,False,True,True,False
OB012,True,True,True,True,False
OB013,True,True,True,True,False
OB014,False,True,False,False,False
OB015,True,True,True,True,True
OB016,True,True,False,True,False
OB017,True,True,True,True,True
OB018,True,False,True,True,False
OB019,False,True,False,False,False
OB020,True,False,False,True,False
OB021,True,True,True,True,True
OB022,True,True,True,True,True
OB023,True,True,True,True,True
OB024,True,True,True,True,True
OB025,True,True,False,True,False
OB026,True,False,True,True,False
OB027,True,True,True,True,True
OB028,True,True,True,True,True
OB029,True,False,False,True,False
OB030,True,True,True,True,False
OB031,True,True,True,True,True
OB032,True,True,True,True,True
OB033,True,True,False,True,False
OB034,True,True,True,True,False
OB035,True,True,False,True,False
OB036,True,True,True,True,False
OB037,True,False,True,True,False
OB038,True,True,True,True,False
OB039,True,False,True,True,False
OB040,False,False,False,False,False
OB041,True,True,True,True,True
OB042,True,False,False,True,False
OB043,True,True,True,True,True
OB044,True,False,False,True,False
OB045,True,True,False,True,False
OB046,True,True,True,True,True
OB047,True,True,True,True,True
OB048,False,True,False,False,False
OB049,True,True,True,True,True
OB050,True,True,True,True,True
OB051,True,True,True,True,False
OB052,True,True,True,True,True
OB053,False,False,False,False,False
OB054,False,True,False,False,False
OB055,True,True,True,True,False
OB056,True,True,False,True,False
OB057,False,True,False,False,False
OB058,True,False,True,True,False
OB059,True,True,True,True,True
OB060,True,True,True,True,True
OB061,True,True,False,True,False
OB062,False,True,False,False,False
OB063,True,False,True,True,False
OB064,True,True,True,True,True
OB065,True,True,True,True,True
OB066,True,True,True,True,True
OB067,True,False,False,True,False
OB068,True,True,True,True,True
OB069,True,True,True,True,False
OB070,True,True,True,True,True
OB071,True,True,True,True,False
OB072,True,True,True,True,True
OB073,True,True,True,True,True
OB074,False,False,False,False,False
OB075,False,False,False,False,False
OB076,True,True,True,True,True
OB077,True,True,True,True,False
OB078,True,True,True,True,True
OB079,True,True,True,True,True
OB080,True,False,True,True,False
OB081,True,True,True,True,True
OB082,True,False,True,True,False
OB083,False,False,False,False,False
OB084,True,False,False,True,False
OB085,True,True,True,True,True
OB086,False,False,False,False,False
OB087,True,True,True,True,True
OB088,True,True,False,True,False
OB089,False,False,False,False,False
OB090,True,True,True,True,True
OB091,True,True,True,True,True
OB092,False,True,False,False,False
OB093,True,True,True,True,True
OB094,False,True,False,False,False
OB095,True,False,True,True,False
OB096,True,True,True,True,True
OB097,True,True,True,True,True
OB098,True,False,False,True,False
OB099,True,True,False,True,False
OB100,True,True,True,True,True
OB101,True,True,True,True,True
OB102,True,True,True,True,True
OB103,True,False,True,True,False
OB104,True,True,True,True,False
OB105,True,False,False,True,False
OB106,True,False,False,True,False
OB107,True,False,True,True,False
OB108,True,True,True,True,True
OB109,True,True,True,True,True
OB110,True,True,True,True,False
OB111,False,False,False,False,False
OB112,True,True,True,True,True
OB113,True,True,True,True,False
OB114,False,False,False,False,False
OB115,False,False,False,False,False
OB116,False,True,False,False,False
OB117,True,True,True,True,True
OB118,True,True,True,True,True
OB119,False,False,False,False,False
OB120,True,True,True,True,True
OB121,True,True,True,True,False
OB122,True,False,False,True,False
OB123,True,True,False,True,False
OB124,True,True,True,True,True
OB125,True,False,False,True,False
OB126,True,True,True,True,False
OB127,True,True,True,True,True
OB128,True,False,True,True,False
OB129,True,True,True,True,False
OB130,True,True,True,True,True
OB131,True,False,True,True,False
OB132,True,True,True,True,True
OB133,True,False,False,True,False
OB134,True,True,True,True,False
OB135,True,True,True,True,True
OB136,True,True,True,True,True
OB137,True,False,True,True,False
OB138,True,True,True,True,False
OB139,True,True,True,True,False
OB140,False,True,False,False,False
OB141,True,True,True,True,False
OB142,False,False,False,False,False
OB143,True,True,True,True,False
OB144,True,False,True,True,False
OB145,True,True,True,True,True
OB146,True,True,True,True,True
OB147,True,False,True,True,False
OB148,True,True,True,True,False
OB149,True,True,False,True,False
OB150,False,True,False,False,False
OB151,True,True,True,True,True
OB152,True,True,True,True,True
OB153,True,True,True,True,False
OB154,True,True,True,True,False
OB155,True,False,True,True,False
OB156,True,False,False,True,False
