Employee ID,Slack Messages,GitHub Commits,Jira Tickets Resolved,Slack Reactions,GitHub PRs Reviewed
OB001,22,0,6,57,0
OB002,111,0,12,20,0
OB003,21,0,4,32,0
OB004,25,0,6,46,0
OB005,104,0,13,22,0
OB006,82,0,11,55,0
OB007,81,0,8,41,0
OB008,33,0,7,31,0
OB009,122,0,13,19,0
OB010,111,0,9,43,0
OB011,147,36,10,61,1
OB012,115,0,1,5,0
OB013,89,0,6,15,0
OB014,125,11,10,42,8
OB015,45,30,17,69,1
OB016,52,0,8,56,0
OB017,52,0,4,37,0
OB018,128,0,3,58,0
OB019,36,0,12,32,0
OB020,86,0,2,29,0
OB021,21,0,10,21,0
OB022,79,0,10,11,0
OB023,105,0,3,29,0
OB024,27,0,5,48,0
OB025,77,0,7,30,0
OB026,35,0,13,43,0
OB027,113,0,14,56,0
OB028,53,0,4,35,0
OB029,52,0,1,55,0
OB030,100,0,10,12,0
OB031,55,0,10,41,0
OB032,42,0,9,39,0
OB033,140,20,6,21,9
OB034,37,0,12,13,0
OB035,37,5,18,54,4
OB036,111,0,8,45,0
OB037,104,0,11,41,0
OB038,35,0,8,42,0
OB039,36,0,9,37,0
OB040,128,0,5,59,0
OB041,62,38,10,10,5
OB042,20,0,3,49,0
OB043,79,16,2,63,5
OB044,111,34,16,60,2
OB045,82,6,14,52,3
OB046,51,0,2,55,0
OB047,68,0,14,30,0
OB048,71,0,8,26,0
OB049,126,0,12,49,0
OB050,105,0,10,48,0
OB051,120,0,6,56,0
OB052,114,0,8,59,0
OB053,113,0,8,42,0
OB054,20,0,10,18,0
OB055,82,0,5,13,0
OB056,20,0,8,26,0
OB057,128,0,10,29,0
OB058,58,0,3,10,0
OB059,55,0,13,42,0
OB060,57,0,13,35,0
OB061,46,0,5,24,0
OB062,79,0,11,16,0
OB063,30,0,7,5,0
OB064,92,0,5,13,0
OB065,101,0,11,38,0
OB066,68,0,13,47,0
OB067,32,0,14,27,0
OB068,20,0,14,55,0
OB069,106,0,7,32,0
OB070,80,37,16,17,2
OB071,48,0,12,22,0
OB072,113,0,9,38,0
OB073,100,0,14,13,0
OB074,71,38,18,46,9
OB075,45,0,5,32,0
OB076,55,0,1,43,0
OB077,81,0,11,49,0
OB078,61,0,9,43,0
OB079,68,0,13,21,0
OB080,88,30,10,35,7
OB081,106,0,13,22,0
OB082,127,0,7,19,0
OB083,32,0,13,22,0
OB084,84,0,14,53,0
OB085,68,0,9,28,0
OB086,71,0,4,12,0
OB087,25,0,5,9,0
OB088,42,29,10,77,5
OB089,107,0,12,19,0
OB090,64,0,14,33,0
OB091,126,0,13,29,0
OB092,50,0,2,40,0
OB093,83,0,8,49,0
OB094,39,0,4,54,0
OB095,81,16,8,38,1
OB096,48,0,13,15,0
OB097,38,0,9,9,0
OB098,65,0,9,21,0
OB099,97,0,7,21,0
OB100,50,22,19,47,9
OB101,49,37,11,49,2
OB102,67,30,15,24,2
OB103,113,11,12,13,6
OB104,119,0,13,12,0
OB105,82,0,1,11,0
OB106,117,0,4,6,0
OB107,63,0,14,18,0
OB108,108,0,4,6,0
OB109,42,0,11,14,0
OB110,126,0,5,51,0
OB111,55,33,2,44,6
OB112,108,0,2,33,0
OB113,104,0,1,59,0
OB114,27,0,8,53,0
OB115,93,10,10,42,9
OB116,42,27,14,10,8
OB117,142,39,13,20,3
OB118,44,0,12,9,0
OB119,34,0,9,40,0
OB120,54,0,8,20,0
OB121,61,0,13,46,0
OB122,34,0,10,28,0
OB123,93,0,1,59,0
OB124,61,15,11,66,9
OB125,61,0,7,49,0
OB126,51,0,5,12,0
OB127,100,0,3,38,0
OB128,31,0,8,24,0
OB129,51,0,1,57,0
OB130,110,0,9,13,0
OB131,61,0,6,22,0
OB132,85,0,11,6,0
OB133,71,0,3,39,0
OB134,82,0,6,36,0
OB135,98,0,9,27,0
OB136,36,0,5,43,0
OB137,105,0,5,59,0
OB138,101,0,5,49,0
OB139,128,33,7,51,5
OB140,63,12,9,58,1
OB141,118,0,8,21,0
OB142,115,0,8,14,0
OB143,81,0,2,14,0
OB144,74,0,9,29,0
OB145,40,0,3,36,0
OB146,133,11,13,31,9
OB147,80,0,1,7,0
OB148,123,0,3,36,0
OB149,41,21,15,23,9
OB150,45,0,5,42,0
OB151,112,0,14,7,0
OB152,68,0,14,23,0
OB153,111,0,11,51,0
OB154,109,0,5,56,0
OB155,68,0,5,14,0
OB156,103,0,8,29,0
OB157,108,0,13,10,0
OB158,101,0,8,15,0
OB159,108,0,5,16,0
OB160,70,26,18,26,2
OB161,59,0,6,14,0
OB162,43,31,10,49,1
OB163,70,0,11,16,0
OB164,103,0,6,16,0
OB165,27,0,5,36,0
OB166,40,0,14,17,0
OB167,111,0,13,13,0
OB168,95,0,12,34,0
OB169,41,0,1,9,0
OB170,39,0,12,5,0
OB171,33,0,4,16,0
OB172,117,0,8,50,0
OB173,67,0,9,23,0
OB174,38,0,4,18,0
OB175,118,0,9,18,0
OB176,83,0,14,54,0
OB177,117,0,8,36,0
OB178,23,0,7,11,0
OB179,105,0,9,22,0
OB180,59,0,14,39,0
OB181,114,13,6,58,9
OB182,38,0,12,12,0
OB183,68,0,4,22,0
OB184,95,0,10,55,0
OB185,92,0,9,43,0
OB186,84,0,7,49,0
OB187,79,0,12,38,0
OB188,52,0,8,43,0
OB189,114,0,11,15,0
OB190,128,0,2,9,0
OB191,78,0,13,19,0
OB192,36,0,13,36,0
OB193,104,0,14,48,0
OB194,118,0,12,22,0
OB195,117,0,11,58,0
OB196,67,0,12,48,0
OB197,100,0,3,57,0
OB198,91,0,3,42,0
OB199,40,0,12,6,0
OB200,20,0,5,17,0
